Periodo,Inflación mensual,Inflación subyacente,Inflación no subyacente,Inflación mensual interanual,Inflación subyacente interanual,Inflación no subyacente interanual,Inflación mensual acumulada,Inflación subyacente acumulada,Inflación no subyacente acumulada
2012/01,0.71,0.45,1.55,4.05,3.34,6.38,0.71,0.45,1.55
2012/02,0.2,0.43,-0.51,3.87,3.37,5.53,0.91,0.88,1.03
2012/03,0.06,0.24,-0.55,3.73,3.31,5.12,0.97,1.12,0.48
2012/04,-0.31,0.15,-1.84,3.41,3.39,3.49,0.65,1.27,-1.37
2012/05,-0.32,0.27,-2.26,3.85,3.48,5.15,0.34,1.54,-3.59
2012/06,0.46,0.22,1.3,4.34,3.5,7.26,0.8,1.76,-2.34
2012/07,0.56,0.31,1.41,4.42,3.59,7.3,1.36,2.08,-0.96
2012/08,0.3,0.22,0.55,4.57,3.7,7.58,1.67,2.31,-0.41
2012/09,0.44,0.18,1.32,4.77,3.61,8.81,2.12,2.49,0.9
2012/10,0.51,0.23,1.42,4.6,3.58,8.07,2.63,2.72,2.34
2012/11,0.68,0.05,2.73,4.18,3.3,7.09,3.33,2.78,5.13
2012/12,0.23,0.12,0.58,3.57,2.9,5.74,3.57,2.9,5.74
2013/01,0.4,0.42,0.33,3.25,2.88,4.47,0.4,0.42,0.33
2013/02,0.49,0.51,0.44,3.55,2.96,5.47,0.9,0.94,0.78
2013/03,0.73,0.3,2.11,4.25,3.02,8.29,1.64,1.24,2.9
2013/04,0.07,0.08,0,4.65,2.95,10.32,1.7,1.32,2.9
2013/05,-0.33,0.2,-2.05,4.63,2.88,10.56,1.37,1.52,0.8
2013/06,-0.06,0.13,-0.69,4.09,2.79,8.39,1.3,1.65,0.1
2013/07,-0.03,0.03,-0.26,3.47,2.5,6.6,1.27,1.69,-0.15
2013/08,0.28,0.09,0.94,3.46,2.37,7.01,1.56,1.78,0.78
2013/09,0.38,0.32,0.55,3.39,2.52,6.2,1.94,2.11,1.34
2013/10,0.48,0.19,1.41,3.36,2.48,6.18,2.43,2.3,2.77
2013/11,0.93,0.14,3.54,3.62,2.56,7.02,3.38,2.44,6.4
2013/12,0.57,0.33,1.35,3.97,2.78,7.84,3.97,2.78,7.84
2014/01,0.89,0.85,1.02,4.48,3.21,8.58,0.89,0.85,1.02
2014/02,0.25,0.28,0.17,4.23,2.98,8.28,1.15,1.14,1.19
2014/03,0.27,0.21,0.46,3.76,2.89,6.54,1.43,1.35,1.65
2014/04,-0.19,0.29,-1.67,3.5,3.11,4.75,1.24,1.65,-0.05
2014/05,-0.32,0.09,-1.64,3.51,3,5.19,0.91,1.74,-1.69
2014/06,0.17,0.21,0.04,3.75,3.09,5.96,1.09,1.96,-1.64
2014/07,0.28,0.19,0.56,4.07,3.25,6.83,1.37,2.15,-1.09
2014/08,0.36,0.21,0.83,4.15,3.37,6.72,1.73,2.37,-0.27
2014/09,0.44,0.29,0.92,4.22,3.34,7.11,2.18,2.67,0.65
2014/10,0.55,0.17,1.79,4.3,3.32,7.51,2.74,2.84,2.45
2014/11,0.81,0.16,2.83,4.17,3.34,6.78,3.57,3.01,5.35
2014/12,0.49,0.23,1.28,4.08,3.24,6.7,4.08,3.24,6.7
2015/01,-0.09,-0.03,-0.27,3.07,2.34,5.34,-0.09,-0.03,-0.27
2015/02,0.19,0.34,-0.27,3,2.4,4.88,0.1,0.31,-0.53
2015/03,0.41,0.26,0.85,3.14,2.45,5.29,0.51,0.57,0.31
2015/04,-0.26,0.16,-1.51,3.06,2.31,5.46,0.25,0.73,-1.21
2015/05,-0.5,0.12,-2.4,2.88,2.33,4.64,-0.25,0.84,-3.58
2015/06,0.17,0.21,0.04,2.87,2.33,4.63,-0.09,1.05,-3.55
2015/07,0.15,0.17,0.07,2.74,2.31,4.12,0.06,1.23,-3.48
2015/08,0.21,0.2,0.24,2.59,2.3,3.51,0.27,1.43,-3.25
2015/09,0.37,0.37,0.39,2.52,2.38,2.96,0.65,1.81,-2.87
2015/10,0.51,0.25,1.35,2.48,2.47,2.52,1.16,2.06,-1.56
2015/11,0.55,0.04,2.15,2.21,2.34,1.84,1.72,2.1,0.56
2015/12,0.41,0.31,0.72,2.13,2.41,1.28,2.13,2.41,1.28
2016/01,0.38,0.19,0.96,2.61,2.64,2.52,0.38,0.19,0.96
2016/02,0.44,0.36,0.68,2.87,2.66,3.49,0.82,0.55,1.64
2016/03,0.15,0.36,-0.49,2.6,2.76,2.12,0.97,0.91,1.14
2016/04,-0.32,0.22,-1.96,2.54,2.83,1.66,0.65,1.13,-0.83
2016/05,-0.45,0.21,-2.51,2.6,2.93,1.55,0.2,1.35,-3.32
2016/06,0.11,0.25,-0.35,2.54,2.97,1.16,0.31,1.61,-3.66
2016/07,0.26,0.17,0.55,2.65,2.97,1.65,0.57,1.78,-3.13
2016/08,0.28,0.19,0.58,2.73,2.96,1.99,0.86,1.98,-2.57
2016/09,0.61,0.48,1.04,2.97,3.07,2.65,1.47,2.46,-1.55
2016/10,0.61,0.28,1.65,3.06,3.1,2.95,2.09,2.75,0.07
2016/11,0.78,0.22,2.54,3.31,3.29,3.34,2.89,2.98,2.61
2016/12,0.46,0.45,0.51,3.36,3.44,3.13,3.36,3.44,3.13
2017/01,1.7,0.58,5.14,4.72,3.84,7.4,1.7,0.58,5.14
2017/02,0.58,0.76,0.03,4.86,4.26,6.71,2.29,1.35,5.18
2017/03,0.61,0.57,0.73,5.35,4.48,8.02,2.92,1.93,5.95
2017/04,0.12,0.45,-0.84,5.82,4.72,9.25,3.04,2.39,5.05
2017/05,-0.12,0.28,-1.3,6.16,4.78,10.6,2.92,2.67,3.69
2017/06,0.25,0.3,0.09,6.31,4.83,11.09,3.18,2.98,3.78
2017/07,0.38,0.27,0.72,6.44,4.94,11.27,3.57,3.26,4.52
2017/08,0.49,0.25,1.22,6.66,5,11.98,4.08,3.52,5.8
2017/09,0.31,0.28,0.41,6.35,4.8,11.28,4.41,3.81,6.23
2017/10,0.63,0.25,1.76,6.37,4.77,11.4,5.06,4.07,8.1
2017/11,1.03,0.34,3.06,6.63,4.9,11.97,6.15,4.43,11.41
2017/12,0.59,0.42,1.09,6.77,4.87,12.62,6.77,4.87,12.62
2018/01,0.53,0.28,1.24,5.55,4.56,8.44,0.53,0.28,1.24
2018/02,0.38,0.49,0.08,5.34,4.27,8.49,0.91,0.77,1.32
2018/03,0.32,0.33,0.3,5.04,4.02,8.03,1.24,1.11,1.63
2018/04,-0.34,0.15,-1.72,4.55,3.71,7.07,0.9,1.25,-0.12
2018/05,-0.16,0.26,-1.38,4.51,3.69,6.99,0.73,1.51,-1.5
2018/06,0.39,0.23,0.84,4.65,3.62,7.79,1.12,1.75,-0.67
2018/07,0.54,0.29,1.27,4.81,3.63,8.38,1.66,2.04,0.59
2018/08,0.58,0.25,1.61,4.9,3.63,8.8,2.26,2.29,2.21
2018/09,0.42,0.32,0.73,5.02,3.67,9.15,2.69,2.62,2.96
2018/10,0.52,0.31,1.15,4.9,3.73,8.5,3.22,2.94,4.14
2018/11,0.85,0.25,2.66,4.72,3.63,8.07,4.1,3.2,6.91
2018/12,0.7,0.47,1.39,4.83,3.68,8.4,4.83,3.68,8.4
2019/01,0.09,0.2,-0.25,4.37,3.6,6.81,0.09,0.2,-0.25
2019/02,-0.03,0.43,-1.38,3.94,3.54,5.25,0.06,0.63,-1.62
2019/03,0.39,0.34,0.51,4,3.55,5.47,0.44,0.98,-1.12
2019/04,0.05,0.46,-1.15,4.41,3.87,6.08,0.5,1.44,-2.26
2019/05,-0.29,0.16,-1.66,4.28,3.77,5.78,0.21,1.6,-3.88
2019/06,0.06,0.3,-0.68,3.95,3.85,4.19,0.27,1.91,-4.53
2019/07,0.38,0.26,0.74,3.78,3.82,3.64,0.65,2.18,-3.82
2019/08,-0.02,0.2,-0.7,3.16,3.78,1.28,0.63,2.39,-4.5
2019/09,0.26,0.3,0.15,3,3.75,0.71,0.89,2.69,-4.35
2019/10,0.54,0.25,1.46,3.02,3.68,1.01,1.44,2.94,-2.95
2019/11,0.81,0.22,2.62,2.97,3.65,0.98,2.26,3.17,-0.41
2019/12,0.56,0.41,1,2.83,3.59,0.59,2.83,3.59,0.59
2020/01,0.48,0.33,0.96,3.24,3.73,1.81,0.48,0.33,0.96
2020/02,0.42,0.36,0.57,3.7,3.66,3.81,0.9,0.69,1.53
2020/03,-0.05,0.29,-1.06,3.25,3.6,2.19,0.85,0.99,0.45
2020/04,-1.01,0.36,-5.17,2.15,3.5,-1.96,-0.17,1.35,-4.74
2020/05,0.38,0.3,0.66,2.84,3.64,0.35,0.22,1.65,-4.1
2020/06,0.55,0.37,1.12,3.33,3.71,2.16,0.76,2.03,-3.03
2020/07,0.66,0.4,1.48,3.62,3.85,2.92,1.43,2.43,-1.6
2020/08,0.39,0.32,0.63,4.05,3.97,4.3,1.82,2.75,-0.97
2020/09,0.23,0.32,-0.04,4.01,3.99,4.1,2.06,3.08,-1.01
2020/10,0.61,0.24,1.77,4.09,3.98,4.42,2.68,3.33,0.74
2020/11,0.08,-0.08,0.56,3.33,3.66,2.33,2.76,3.24,1.31
2020/12,0.38,0.55,-0.13,3.15,3.8,1.18,3.15,3.8,1.18
2021/01,0.86,0.36,2.4,3.54,3.84,2.63,0.86,0.36,2.4
2021/02,0.63,0.39,1.36,3.76,3.87,3.43,1.5,0.75,3.79
2021/03,0.83,0.54,1.69,4.67,4.12,6.31,2.34,1.3,5.55
2021/04,0.33,0.37,0.21,6.08,4.13,12.34,2.67,1.67,5.76
2021/05,0.2,0.53,-0.75,5.89,4.37,10.76,2.88,2.2,4.97
2021/06,0.53,0.57,0.42,5.88,4.58,10,3.43,2.79,5.41
2021/07,0.59,0.48,0.93,5.81,4.66,9.39,4.04,3.28,6.39
2021/08,0.19,0.43,-0.52,5.59,4.78,8.14,4.24,3.72,5.84
2021/09,0.62,0.46,1.1,6,4.92,9.37,4.88,4.19,7
2021/10,0.84,0.49,1.87,6.24,5.19,9.47,5.76,4.71,9
2021/11,1.14,0.37,3.45,7.37,5.67,12.61,6.97,5.09,12.75
2021/12,0.36,0.8,-0.9,7.36,5.94,11.74,7.36,5.94,11.74
2022/01,0.59,0.62,0.52,7.07,6.21,9.68,0.59,0.62,0.52
2022/02,0.83,0.76,1.04,7.28,6.59,9.34,1.43,1.38,1.56
2022/03,0.99,0.72,1.79,7.45,6.78,9.45,2.43,2.1,3.39
2022/04,0.54,0.78,-0.14,7.68,7.22,9.07,2.98,2.9,3.24
